id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,instrumentalness,speechiness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,0.04,0.06
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,0.35,0.04
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,0.05,0.07
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,0.62,0.03
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,0.02,0.08
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,0.91,0.02
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,0.52,0.04
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,0.38,0.03
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,0.47,0.03
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,0.06,0.05
11,Street Chronicles,Cipher Kings,hip-hop,energetic,0.83,95,0.68,0.87,0.07,0.02,0.28
12,Autumn Sonata,Lyra Strings,classical,melancholic,0.30,66,0.22,0.28,0.96,0.88,0.03
13,Velvet Nights,Soul Haven,r&b,romantic,0.55,86,0.73,0.76,0.44,0.03,0.06
14,Iron Collapse,Wrathborn,metal,angry,0.97,168,0.14,0.51,0.04,0.08,0.05
15,Old Oak Road,The Wanderers,folk,nostalgic,0.33,74,0.54,0.46,0.91,0.12,0.04
16,Prairie Sunrise,Dusty Lark,country,uplifting,0.67,108,0.89,0.71,0.62,0.05,0.06
17,Island Drift,Coral Roots,reggae,peaceful,0.48,82,0.78,0.80,0.55,0.07,0.08
18,Empty Glass Blues,Ray Hollows,blues,sad,0.38,68,0.19,0.44,0.82,0.22,0.04
19,Hyperdrive,Axis Omega,drum and bass,euphoric,0.95,174,0.72,0.84,0.06,0.54,0.04
20,Rio Whisper,Cafe Calor,bossa nova,dreamy,0.36,110,0.66,0.68,0.79,0.31,0.03
